Action Breakdown,Breakdown,Campaign Name,Category,Created at,Confidence,Importance,Level,Metrics,Redirect for edit,Recommendation type,Source,Structure Name,Parent Name,Template
,,Traffic Website June,cpr,2020-06-23T15:15:38,1,3,ad,['CPC'],1,Performance,Facebook,Traffic Website June - Beer - Carousel,Traffic Website June - Beer,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Traffic Website June,cpr,2020-06-23T15:15:39,1,3,ad,['CPC'],1,Performance,Facebook,Traffic Website June - Beer - Video,Traffic Website June - Beer,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Traffic Website June,cpr,2020-06-23T15:15:39,1,3,ad,['CPC'],1,Performance,Facebook,Traffic Website June - Beer - Video,Traffic Website June - Beer,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Traffic Website June,cpr,2020-06-23T15:15:40,1,3,ad,['CPC'],1,Performance,Facebook,Traffic Website June - General - slideshow,Traffic Website June - General,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Traffic Website June,cpr,2020-06-23T15:15:41,1,3,ad,['CPC'],1,Performance,Facebook,Traffic Website June - General - Video,Traffic Website June - General,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Traffic Website June,cpr,2020-06-23T15:15:41,1,3,ad,['CPC'],1,Performance,Facebook,Traffic Website June - General - Carousel,Traffic Website June - General,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:15:54,1,3,ad,['CPC'],1,Performance,Facebook,New beer in stock,Cold audiences,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:15:55,1,3,ad,['CPC'],1,Performance,Facebook,Maverick and Gose,Cold audiences,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:15:55,1,3,ad,['CPC'],1,Performance,Facebook,Social Distance Date Night,Cold audiences,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:15:56,1,3,ad,['CPC'],1,Performance,Facebook,Social Distance Date Night,Retargeting,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:15:57,1,3,ad,['CPC'],1,Performance,Facebook,New beer in stock,Retargeting,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:15:58,1,3,ad,['CPC'],1,Performance,Facebook,Maverick and Gose,Retargeting,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:15:58,1,3,ad,['CPC'],1,Performance,Facebook,New beer in stock,Look a Like,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:15:59,1,3,ad,['CPC'],1,Performance,Facebook,Maverick and Gose,Look a Like,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:16:00,1,3,ad,['CPC'],1,Performance,Facebook,Social Distance Date Night,Look a Like,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Traffic Website June,cpr,2020-06-23T15:22:25,0.031376695586609875,3,ad,['Reach'],3,Audience,Dexter,Traffic Website June - General - slideshow,Traffic Website June - General,"Your reach has decreased, but why? Your relevancy score is below most likely very low, at this point your ads are being penalized and delivery is being affected. Dexter suggests creating new ads with new targeting."
,,Traffic Website June,cpc,2020-06-23T15:22:18,0.061888717086403464,3,ad,"['Clicks', 'Cost per result']",3,Performance,Dexter,Traffic Website June - General - slideshow,Traffic Website June - General,Dexter noticed your clicks are decreasing and your cost per result is also decreasing. You should pause this ad to improve performance.
,,USA| LG Form| Franchise Prospecting|,engagement,2020-06-23T15:23:10,0.09835416193409705,3,ad,['Results'],1,Creative,Dexter,Swipe Up Video Ad,Lookalike  Audience| FB Leads| Stories & Feed,Did you know you can drastically improve your post engagement by asking a question in the first sentence of your ad? Dexter suggests you make this change to help improve your results!
,,USA| LG Form| Franchise Prospecting|,cpr,2020-06-23T15:23:27,0.0012733064664176715,3,ad,"['CTR', 'Results']",3,Performance,Dexter,Swipe Up Video Ad,Lookalike  Audience| FB Leads| Stories & Feed,Dexter noticed your CTR is decreasing while your results remain low. You should pause this ad to improve performance.
,,Agent Led Protal - Traffic,cpr,2020-06-23T15:26:19,1,3,ad,['CPC'],1,Performance,Facebook,Agent Led Protal - Traffic,Agent Led Protal,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Agent Led Protal - Traffic,cpr,2020-06-23T15:26:22,1,3,ad,['CPC'],1,Performance,Facebook,Agent Led Protal - Traffic,Agent Led Protal,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Agent Led Protal - Traffic,cpr,2020-06-23T15:26:25,1,3,ad,['CPC'],1,Performance,Facebook,Agent Led Protal - Traffic,Agent Led Protal,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Agent Led Protal - Traffic,cpr,2020-06-23T15:26:28,1,3,ad,['CPC'],1,Performance,Facebook,Agent Led Protal - Traffic,Agent Led Protal,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FREE Camping - Lead Generation,engagement,2020-06-23T15:25:20,0.9763843959210128,3,ad,['Results'],1,Creative,Dexter,Glamping Resorts Ltd - FREE CAMPING Lead generation,CA - 18+,Did you know you can drastically improve your post engagement by asking a question in the first sentence of your ad? Dexter suggests you make this change to help improve your results!
,,Filed - Deliveries Ads - Direct to Order,engagement,2020-06-23T15:25:55,0.8292472905448884,3,ad,['Results'],1,Creative,Dexter,Filed - Deliveries Advert - GeoTarget 1,Filed - Deliveries Advert - GeoTarget,Did you know you can drastically improve your post engagement by asking a question in the first sentence of your ad? Dexter suggests you make this change to help improve your results!
,,Filed - Deliveries Ads - Direct to Order,cpr,2020-06-23T15:26:15,0.8846961701132834,3,ad,['Reach'],3,Audience,Dexter,Filed - Deliveries Advert - GeoTarget 1,Filed - Deliveries Advert - GeoTarget,"Your reach has decreased, but why? Your relevancy score is below most likely very low, at this point your ads are being penalized and delivery is being affected. Dexter suggests creating new ads with new targeting."
,,Filed - Deliveries Ads - Direct to Order,cpr,2020-06-23T15:27:05,4.767379306732951e-05,3,ad,"['CTR', 'Results']",3,Performance,Dexter,Filed - Deliveries Advert - GeoTarget 1,Filed - Deliveries Advert - GeoTarget,Dexter noticed your CTR is decreasing while your results remain low. You should pause this ad to improve performance.
,,Filed - Deliveries Ads - Direct to Order,engagement,2020-06-23T15:28:55,0.9124432881119041,3,ad,['Results'],1,Creative,Dexter,Filed - Deliveries Advert - Website & FB Traffic 1,Filed - Deliveries Advert - Website & FB Traffic,Did you know you can drastically improve your post engagement by asking a question in the first sentence of your ad? Dexter suggests you make this change to help improve your results!
,,Filed - Deliveries Ads - Direct to Order,engagement,2020-06-23T15:31:16,0.8617315414995156,3,ad,['Results'],1,Creative,Dexter,Filed - Deliveries Advert - Website & FB Traffic 3,Filed - Deliveries Advert - Website & FB Traffic,Did you know you can drastically improve your post engagement by asking a question in the first sentence of your ad? Dexter suggests you make this change to help improve your results!
,,Filed - Deliveries Ads - Direct to Order,cpr,2020-06-23T15:31:29,0.5908191277842243,3,ad,['Reach'],3,Audience,Dexter,Filed - Deliveries Advert - Website & FB Traffic 3,Filed - Deliveries Advert - Website & FB Traffic,"Your reach has decreased, but why? Your relevancy score is below most likely very low, at this point your ads are being penalized and delivery is being affected. Dexter suggests creating new ads with new targeting."
,,Filed - Retargeting - Lakeviews & Lakefronts - Sales,cpc,2020-06-23T15:31:40,0.011345327694024417,3,ad,"['Clicks', 'Cost per result']",3,Performance,Dexter,Filed Conversions - Lakeview RV Lots Ad1 (Learn more),Canada | RTG LP Views No Conversion | Lakeview RV | 30D,Dexter noticed your clicks are decreasing and your cost per result is also decreasing. You should pause this ad to improve performance.
,,Filed - RTG - Traffic,cpc,2020-06-23T15:32:47,0.004242184105545363,3,ad,"['Clicks', 'Cost per result']",3,Performance,Dexter,IMG Survivor V.1.3,FB Engaged 365 days,Dexter noticed your clicks are decreasing and your cost per result is also decreasing. You should pause this ad to improve performance.
,,Filed - Retargeting | Lakeviews | Lakefronts | Lease,cpc,2020-06-23T15:36:11,1.0,3,ad,['CPC'],3,Budget & Bid,Dexter,Filed Conversions - Lakefront Domes Ad2,RTG VC Lakefront Domes 180D,Dexter noticed your ad has more that 20% text overlay and a high CPC. You should decrease the budget by maximum 25%.
,,FILED Campaign - Prospecting,cpc,2020-06-23T15:37:03,0.036856257899742374,3,ad,"['Clicks', 'Cost per result']",3,Performance,Dexter,Maverick and Gose,Cold audiences,Dexter noticed your clicks are decreasing and your cost per result is also decreasing. You should pause this ad to improve performance.
